text,id
alhamdulillah fungsi baik packaging aman respon cepat ramah seller kurir amanah,1
barang bagus respon cepat harga saing,1
barang bagus fungsi baik seler ramah kirim cepat,1
bagus sesuai harap jual ramah trimakasih lapak,1
barang bagus emas aman fungsi baik,1
barang bagus seller ramah,1
mantap paten joss,1
works fine respon seller cepat barang fungsi baik recommended,1
barang bagus segel utuh original fungsi bener seller respon ajib cepat amir uda gt kasi saran pas banget lg butuh mantabbb,1
barang datang fungsi baik lihat bagus kali lampu biru,1
kirim super cepat barang bagus recommended seller thanks,1
alhamdulillah barang nyampe d coba bagus moga awet terima kasih seller kurir tokopedia,1
jual amanah responsif kabel fungsi baik kirim cepat terima kasih,1
alhamdulillah barang pakai moga fungsi baik awet kurir baik smoga rezeki lancar terus,1
bagus jalan baik cukup silent kokoh muat laptop inch,1
packing aman kirim cepat barang fungsi baik,1
produk baik kualitasny good banget produk konsumen kondisi baik sesuai sih sama harga so overall very good,1
barang gan fungsi terima kasih,1
barang mantap sesuai deskripsi laptop jadi adem n sejuk,1
produk terima kondisi baik terima kasih,1
belanja dua kali selalu puas kirim lumayan cepat overall bagus banget,1
kualitas barang bagus harga relatif murah kirim super cepat response jual baik recommended seller bintang terima kasih yah moga sukses aamiin,1
mantab barang oke punya,1
kirim cepat packing rapi kualitas mantap,1
silent bagus kerja ringan,1
barang cepat kualitas bagus kirim aman pecah manstapu,1
bagus kualitas sesuai gbr makasih seller tokped kurir,1
mantap kipas kenceng barang kualitas sesuai sama harga,1
mantap proses kerja kirim barang sesuai deskripsi,1
jual ramah layan beli sabar beri bagai saran beli tahu mantap,1
barang cepat packingnya rapi sekali bagi acrylic pecah fungsi baik moga awet,1
sangat presisi pas,1
puas banget seller helpfull sangat responsif cepet banget recomended,1
mantappp responnya muas coba pasang presisi nyaman cas responsif,1
mantap barang cepet enak digunainnya,1
barang bagus oke cepat kirim,1
kirim cepat seller responsif,1
barang fungsi baik milik toko sangat responsif bantu sedikit kendala sukses toko gan,1
seller luar biasa packing baik kirim cepat penting barang sesuai deskripsi fungsi terima kasih,1
sangat kecewa baru bulan scroll rusak,0
jelek jauh ori mousepad jd bs pakai kl charger jd getar parah barang sesui foto kayak barang lapak belah harga padahal belum pernah beli sini bagus persis spt foto indikator ujung charger makanya order sini lg walaupun sedikit mahal nyata barang sama order belum,0
pakai,0
kecewa parah nggk berkah jual gitu,0
kecewa jual tanggung jawab komplen gada solusi,0
pas beli nanya dulu tipe macbook pro mana variasi kata jual pro pas dateng casing kecil salah tipe nyata jual pake banyak alesan gamau tanggung jawab padahal salah ngejual kecewa gamau beli sini tanggung jawab,0
barang terlalu lama padahal kota casing mudah lepas jujur kecewa,0
kecewa belanja tempat kamu pesan kirim,0
tissue bersih alat bantu lain pasang sangat kecewa,0
salah beli barang tp toko kompromi sama sekali padahal barang segel kecewa dehhh,0
data sering error hilang,0
kecewa sama toko official tau sen pertama konfirmasi sampe batalin sistem direspon sama sekali pesan dua suruh pesan sama toko cuma konfirmasi doang kirim sampe tinggal menit dibatalin sistem untung gara chat cs tokopedia akhir barang bakal kirim detik akhir cuma sampe situ payah barang baru ambil kurir tanggal pickup barang sama kurir lebih hari proses kirim lot muter padahal lewat depan rumah baru tanggal jam malem paket sampe,0
packing ada bubble selap tambah lapis plastik hasil barang terima ada patah,0
mic awal nyala,0
kartu sd cuma gb kata official malah mksofficial kecewa original,0
cepat sesuai deskripsi,0
berfugsi,0
mouse kurang bagus pointer gerak gerak sendiri,0
infra red jelek suka mental,0
batre sesuai ukur nano receiver,0
boros batre,0
barang error,0
jaringanya ngelek banget lelet mending pake indihome de nyesel beli orbit jaring parah,0
sesuai ekspektasi,0
lambat,0
kata paket gb nyata regiatrasi cm mb,0
register call center team orbin helpful dar minta info gerai orbin buka no telp suruh cari google bukan mau cari nomor telp hubungin jadi apa salah beri info valid sesal beli orbit call center team orbin helpful dar minta info gerai orbin buka no telp suruh cari google bukan mau cari nomor telp hubungin jadi apa salah beri info valid sesal beli orbit,0
sesuai,0
janji kirim instant segera mau pakai segera nyata tutup toko baru kirim paket malam pas besok coba nyata ssd baca bilang kirim toko agarnbisa kirim segera baru tangerang ongkos gojek instant arti dekat sampaiiii minggu baru kirim sangat lihat sengaja sekali sangat professional jual online jual barang rusak etikat ucap maaf tutup anggap licik pelit sekali ongkir suruh tanggung pas barang kalau lihat begini mah lupa garansi produk bakal ganti baru bila jadi rusak kemudian hari,0
beli ssd terima kondisi rusak,0
fungsi yaa sudah tambah daya pakai mikro usb cas hp tetap,0
kurang bagus colok hardisk external deteksi,0
produk kurang baik rusak,0
kualitas nyata sama merk china harga an bahkan lebih bagus merk an lalu kirim lambat sekali official store pesan tgl tgl sempat guna zoom meeting pakai hp cukup kecewa produk layan logitech kalau utk keyboard mouse emang cukup bagus bbrp model kapok beli sini barang proses bbrp jam sblm batal walaupun pesan hari biasa,0
kirim hari lambat padahal bilang bakal lgsg kirim habis order chat lgsg respon utk official store brand gede logitech sungguh kecewa,0
mousenya kurang responsif jd teken kuat,0
baru pake bulan sensor jelek suka,0
bom bulan nyala baterai ganti tetap nyala kecewa kerjain logitech,0
sangat kecewa barang kirim sesuai konfirmasi kali nanggung x ongkos kirim sangat kecewa,0
kualitas chargeran jelek bangettt baru hari pakai rusakk,0
layan toko jelek proses barang lambat chat jawab barang,0
barang rusak sama sekali parah,0
cepet rusak kadang konek kadang engga,0
barang gajelas lama kotak,0
cek utuh kok sisa butuh yaudahlah cukup tau beli sini pertama akhir beli sini,0
